"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"0500000US13051","Chatham County, Georgia","1107","44928",
"0500000US13053","Chattahoochee County, Georgia","4823","51089",
"0500000US13055","Chattooga County, Georgia","1909","32419",
"0500000US13057","Cherokee County, Georgia","1319","66320",
"0500000US13059","Clarke County, Georgia","1467","34253",
"0500000US13061","Clay County, Georgia","3802","26250",
"0500000US13063","Clayton County, Georgia","817","43311",
"0500000US13065","Clinch County, Georgia","7174","31963",
"0500000US13067","Cobb County, Georgia","808","65522",
"0500000US13069","Coffee County, Georgia","1993","35202",
"0500000US13071","Colquitt County, Georgia","2299","32902",
"0500000US13073","Columbia County, Georgia","1732","66333",
"0500000US13075","Cook County, Georgia","3595","31390",
"0500000US13077","Coweta County, Georgia","1482","61550",
"0500000US13079","Crawford County, Georgia","5248","37062",
"0500000US13081","Crisp County, Georgia","3933","29960",
"0500000US13083","Dade County, Georgia","2864","39760",
"0500000US13085","Dawson County, Georgia","3236","51128",
"0500000US13087","Decatur County, Georgia","2443","33297",
"0500000US13089","DeKalb County, Georgia","763","51349",
"0500000US13091","Dodge County, Georgia","4457","33580",
"0500000US13093","Dooly County, Georgia","3148","31038",
"0500000US13095","Dougherty County, Georgia","1309","32435",
"0500000US13097","Douglas County, Georgia","1732","55852",
"0500000US13099","Early County, Georgia","3201","26928",
"0500000US13101","Echols County, Georgia","8083","32390",
"0500000US13103","Effingham County, Georgia","3945","56903",
"0500000US13105","Elbert County, Georgia","2321","30543",
"0500000US13107","Emanuel County, Georgia","2296","30205",
"0500000US13109","Evans County, Georgia","4269","40796",
"0500000US13111","Fannin County, Georgia","2447","34145",
"0500000US13113","Fayette County, Georgia","2475","82216",
"0500000US13115","Floyd County, Georgia","2001","41066",
"0500000US13117","Forsyth County, Georgia","1977","87605",
"0500000US13119","Franklin County, Georgia","4151","36739",
"0500000US13121","Fulton County, Georgia","761","56709",
"0500000US13123","Gilmer County, Georgia","2434","36741",
"0500000US13125","Glascock County, Georgia","4273","37149",
"0500000US13127","Glynn County, Georgia","2345","50337",
"0500000US13129","Gordon County, Georgia","2267","40916",
"0500000US13131","Grady County, Georgia","2614","32247",
"0500000US13133","Greene County, Georgia","3977","38513",
"0500000US13135","Gwinnett County, Georgia","736","63219",
"0500000US13137","Habersham County, Georgia","2390","40192",
"0500000US13139","Hall County, Georgia","1401","50876",
"0500000US13141","Hancock County, Georgia","2218","22283",
"0500000US13143","Haralson County, Georgia","3072","38996",
"0500000US13145","Harris County, Georgia","3187","67018",
"0500000US13147","Hart County, Georgia","3204","36109",
"0500000US13149","Heard County, Georgia","2986","42685",
"0500000US13151","Henry County, Georgia","1092","63923",
"0500000US13153","Houston County, Georgia","1813","55098",
"0500000US13155","Irwin County, Georgia","5322","38376",
"0500000US13157","Jackson County, Georgia","2141","51506",
"0500000US13159","Jasper County, Georgia","3479","42081",
"0500000US13161","Jeff Davis County, Georgia","2978","32928",
"0500000US13163","Jefferson County, Georgia","2694","29268",
"0500000US13165","Jenkins County, Georgia","5820","27686",
"0500000US13167","Johnson County, Georgia","3032","27607",
"0500000US13169","Jones County, Georgia","3662","50717",
"0500000US13171","Lamar County, Georgia","3375","37536",
"0500000US13173","Lanier County, Georgia","8566","37522",
"0500000US13175","Laurens County, Georgia","1734","38280",
"0500000US13177","Lee County, Georgia","2881","59811",
"0500000US13179","Liberty County, Georgia","1815","42674",
"0500000US13181","Lincoln County, Georgia","3177","36399",
"0500000US13183","Long County, Georgia","6967","41186",
"0500000US13185","Lowndes County, Georgia","1364","39096",
"0500000US13187","Lumpkin County, Georgia","3798","43394",
"0500000US13189","McDuffie County, Georgia","2416","35414",
"0500000US13191","McIntosh County, Georgia","4959","39075",
"0500000US13193","Macon County, Georgia","3003","27950",
"0500000US13195","Madison County, Georgia","2230","41343",
"0500000US13197","Marion County, Georgia","5583","31581",
"0500000US13199","Meriwether County, Georgia","3105","37845",
"0500000US13201","Miller County, Georgia","3369","33196",
"0500000US13205","Mitchell County, Georgia","3353","36198",
"0500000US13207","Monroe County, Georgia","5630","48297",
"0500000US13209","Montgomery County, Georgia","5183","35182",
"0500000US13211","Morgan County, Georgia","3828","45817",
"0500000US13213","Murray County, Georgia","2565","38226",
"0500000US13215","Muscogee County, Georgia","965","41331",
"0500000US13217","Newton County, Georgia","1731","52361",
"0500000US13219","Oconee County, Georgia","3075","74352",
"0500000US13221","Oglethorpe County, Georgia","4759","39319",
"0500000US13223","Paulding County, Georgia","1788","62348",
"0500000US13225","Peach County, Georgia","4270","41014",
"0500000US13227","Pickens County, Georgia","2564","49945",
"0500000US13229","Pierce County, Georgia","4103","37062",
"0500000US13231","Pike County, Georgia","4661","53213",
"0500000US13233","Polk County, Georgia","1820","38646",
"0500000US13235","Pulaski County, Georgia","7333","36262",
"0500000US13237","Putnam County, Georgia","2735","41529",
"0500000US13239","Quitman County, Georgia","6911","28912",
"0500000US13241","Rabun County, Georgia","2699","34406",
"0500000US13243","Randolph County, Georgia","4622","26194",
